ISSN	TÌtulo	Estrato
1744-6635	INTERNATIONAL JOURNAL OF BUSINESS FORECASTING AND MARKETING INTELLIGENCE	B1
1746-0972	INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT)	A4
0098-9886	INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS (PRINT)	A3
0946-1965	INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS	B1
1368-5031	INTERNATIONAL JOURNAL OF CLINICAL PRACTICE (ESHER)	A3
1099-1131	INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS	A4
1074-5351	INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS (PRINT)	A4
1913-3715	INTERNATIONAL JOURNAL OF COMMUNICATIONS, NETWORK AND SYSTEM SCIENCES	C
2250-3005	INTERNATIONAL JOURNAL OF COMPUTATIONAL ENGINEERING RESEARCH	C
1793-6969	INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS	A4
1742-7185	INTERNATIONAL JOURNAL OF COMPUTATIONAL SCIENCE AND ENGINEERING	B1
0975-8887	INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS	C
1741-5047	INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY	A4
0952-8091	INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY	A4
2316-9915	INTERNATIONAL JOURNAL OF COMPUTER ARCHITECTURE EDUCATION	B4
1861-6410	INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY (PRINT)	A2
1687-7047	INTERNATIONAL JOURNAL OF COMPUTER GAMES TECHNOLOGY	A4
1362-3052	INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING (ONLINE)	A2
0975-2293	INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS	C
0975-4660	INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY	C
0975-3826	INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY (CHENNAI)	C
1463-4201	INTERNATIONAL JOURNAL OF COMPUTERIZED DENTISTRY	B1
1841-9836	INTERNATIONAL JOURNAL OF COMPUTERS, COMMUNICATIONS & CONTROL (PRINT)	B1
2210-142X	INTERNATIONAL JOURNAL OF COMPUTING AND DIGITAL SYSTEMS	B3
2005-4092	INTERNATIONAL JOURNAL OF CONTROL, AUTOMATION AND SYSTEMS	A3
0020-7179	INTERNATIONAL JOURNAL OF CONTROL (PRINT)	A2
1178-2005	INTERNATIONAL JOURNAL OF COPD	A1
1468-2494	INTERNATIONAL JOURNAL OF COSMETIC SCIENCE	A3
1759-1163	INTERNATIONAL JOURNAL OF DATA MINING, MODELLING AND MANAGEMENT	B1
2230-9926	INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH	C
0736-5748	INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE	A4
1539-3100	INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES	A4
1550-1329	INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS	A2
1550-1477	INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS (ONLINE)	A2
2195-2698	INTERNATIONAL JOURNAL OF DYNAMICS AND CONTROL	A3
1756-9850	INTERNATIONAL JOURNAL OF ECONOMICS AND BUSINESS RESEARCH	A4
1947-315X	INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS	B2
0020-7209	INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION	A4
0142-0615	INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS	A1
2249-071X	INTERNATIONAL JOURNAL OF ELECTRONICS COMMUNICATION AND COMPUTER ENGINEERING	C
0020-7217	INTERNATIONAL JOURNAL OF ELECTRONICS (PRINT)	A4
1741-1068	INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS	B2
1553-779X	INTERNATIONAL JOURNAL OF EMERGING ELECTRIC POWER SYSTEMS	B1
2250-2459	INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGY AND ADVANCED ENGINEERING	C
2326-957X	INTERNATIONAL JOURNAL OF ENERGY AND POWER ENGINEERING	C
2335-6812	INTERNATIONAL JOURNAL OF ENERGY AND STATISTICS	B4
2146-4553	INTERNATIONAL JOURNAL OF ENERGY ECONOMICS AND POLICY	A2
1099-114X	INTERNATIONAL JOURNAL OF ENERGY RESEARCH	A1
0363-907X	INTERNATIONAL JOURNAL OF ENERGY RESEARCH (PRINT)	A1
2321-0869	INTERNATIONAL JOURNAL OF ENGINEERING & TECHNICAL RESEARCH	B3
1793-8236	INTERNATIONAL JOURNAL OF ENGINEERING AND TECHNOLOGY (IJET)	C
2321-9939	INTERNATIONAL JOURNAL OF ENGINEERING DEVELOPMENT AND RESEARCH	C
0949-149X	INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION	A3
2278-0181	INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY	C
2248-9622	INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND APPLICATIONS (IJERA)	C
0020-7225	INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE	A1
2456-043X	INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE AND GENERIC RESEARCH	C
2277-9655	INTERNATIONAL JOURNAL OF ENGINEERING SCIENCES & RESEARCH TECHNOLOGY	C
2454-1907	INTERNATIONAL JOURNAL OF ENGINEERING TECHNOLOGIES AND MANAGEMENT RESEARCH	C
2231-5381	INTERNATIONAL JOURNAL OF ENGINEERING TRENDS AND TECHNOLOGY	C
2381-7259	INTERNATIONAL JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT	C
1660-4601	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	A1
1939-795X	INTERNATIONAL JOURNAL OF EXERCISE SCIENCE	B2
0142-1123	INTERNATIONAL JOURNAL OF FATIGUE	A1
1562-2479	INTERNATIONAL JOURNAL OF FUZZY SYSTEMS	A1
2156-8359	INTERNATIONAL JOURNAL OF GEOSCIENCES	B2
1741-847X	INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING	A4
1741-8488	INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING (ONLINE)	A4
2372-5079	INTERNATIONAL JOURNAL OF HEALTH SCIENCES	B3
0142-727X	INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW	A2
0017-9310	INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER	A1
1947-3478	INTERNATIONAL JOURNAL OF HUMAN CAPITAL AND INFORMATION TECHNOLOGY PROFESSIONALS	A3
1044-7318	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION	A3
1071-5819	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT)	A1
1448-5869	INTERNATIONAL JOURNAL OF HYBRID INTELLIGENT SYSTEMS	B3
0360-3199	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	A1
2347-6982	INTERNATIONAL JOURNAL OF INDUSTRIAL ELETRONICS ENGINEERING	B2
1923-2926	INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING COMPUTATIONS	A1
2090-8040	INTERNATIONAL JOURNAL OF INFLAMMATION	A3
1741-8070	INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY	A4
1550-1876	INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION	A4
0268-4012	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	A1
1930-1650	INTERNATIONAL JOURNAL OF INFORMATION SECURITY AND PRIVACY	C
1615-5262	INTERNATIONAL JOURNAL OF INFORMATION SECURITY (PRINT)	A3
1349-4198	INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING, INFORMATION & CONTROL	B2
2457-063X	INTERNATIONAL JOURNAL OF INNOVATIVE STUDIES IN MEDICAL SCIENCES	C
2455-4847	INTERNATIONAL JOURNAL OF LATEST ENGINEERING AND MANAGEMENT RESEARCH (IJLEMR)	B4
2040-4166	INTERNATIONAL JOURNAL OF LEAN SIX SIGMA	A2
1694-2116	INTERNATIONAL JOURNAL OF LEARNING, TEACHING AND EDUCATIONAL RESEARCH	C
1748-1325	INTERNATIONAL JOURNAL OF LOW-CARBON TECHNOLOGY	A3
2156-1680	INTERNATIONAL JOURNAL OF MANUFACTURING, MATERIALS, AND MECHANICAL ENGINEERING	B2
0020-739X	INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY	A4
2040-3607	INTERNATIONAL JOURNAL OF MATHEMATICAL MODELLING AND NUMERICAL OPTIMIZATION	B3
2333-9187	INTERNATIONAL JOURNAL OF MECHANICAL ENGINEERING AND AUTOMATION	C
2278-0149	INTERNATIONAL JOURNAL OF MECHANICAL ENGINEERING AND ROBOTICS RESEARCH	B2
1386-5056	INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS	A2
1744-2621	INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES (PRINT)	B1
2631-5076	INTERNATIONAL JOURNAL OF METALLURGY AND METAL PHYSICS	B4
2107-6839	INTERNATIONAL JOURNAL OF METROLOGY AND QUALITY ENGINEERING	B1
2095-2686	INTERNATIONAL JOURNAL OF MINING SCIENCE AND TECHNOLOGY	A1
1746-6172	INTERNATIONAL JOURNAL OF MODELLING, IDENTIFICATION AND CONTROL (PRINT)	A4
2249-6645	INTERNATIONAL JOURNAL OF MODERN ENGINEERING RESEARCH	C
0217-751X	INTERNATIONAL JOURNAL OF MODERN PHYSICS A	A4
0129-1831	INTERNATIONAL JOURNAL OF MODERN PHYSICS C	A4
0218-2718	INTERNATIONAL JOURNAL OF MODERN PHYSICS D	A3
1422-0067	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE)	A2
1178-2013	INTERNATIONAL JOURNAL OF NANOMEDICINE (ONLINE)	A1
1475-7435	INTERNATIONAL JOURNAL OF NANOTECHNOLOGY	B2
1947-928X	INTERNATIONAL JOURNAL OF NATURAL COMPUTING RESEARCH	C
1055-7148	INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT	A4
1099-1190	INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT (ONLINE)	A4
0129-0657	INTERNATIONAL JOURNAL OF NEURAL SYSTEMS	A1
0020-7454	INTERNATIONAL JOURNAL OF NEUROSCIENCE	B1
2454-4116	INTERNATIONAL JOURNAL OF NEW TECHNOLOGY AND RESEARCH	C
2050-6902	INTERNATIONAL JOURNAL OF NONLINEAR DYNAMICS AND CONTROL (IMPRESSO)	C
0020-7462	INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS	A1
1099-1204	INTERNATIONAL JOURNAL OF NUMERICAL MODELLING	A4
0894-3370	INTERNATIONAL JOURNAL OF NUMERICAL MODELLING (PRINT)	A4
2626-8493	INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING (IJOE)	A4
1861-2121	INTERNATIONAL JOURNAL OF ONLINE ENGINEERING	A4
1745-7645	INTERNATIONAL JOURNAL OF OPERATIONAL RESEARCH (PRINT)	B3
0901-5027	INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY	A1
2013-570X	INTERNATIONAL JOURNAL OF ORGANIZATIONS	B2
1744-5760	INTERNATIONAL JOURNAL OF PARALLEL, EMERGENT AND DISTRIBUTED SYSTEMS (PRINT)	B1
0218-0014	INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE	B1
1474-8185	INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT	A3
2475-5559	INTERNATIONAL JOURNAL OF PETROCHEMICAL SCIENCE & ENGINEERING	C
0378-5173	INTERNATIONAL JOURNAL OF PHARMACEUTICS (PRINT)	A1
1110-662X	INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT)	A4
2394-1685	INTERNATIONAL JOURNAL OF PHYSICAL EDUCATION, SPORTS AND HEALTH	C
0091-4037	INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS (PRINT)	A2
0308-0161	INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING	A3
0925-5273	INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS	A1
0020-7543	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT)	A1
0167-8760	INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY	A2
0976-3031	INTERNATIONAL JOURNAL OF RECENT SCIENTIFIC RESEARCH	C
0140-7007	INTERNATIONAL JOURNAL OF REFRIGERATION	A1
0218-5393	INTERNATIONAL JOURNAL OF RELIABILITY, QUALITY AND SAFETY ENGINEERING	A4
0143-1161	INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT)	A2
1309-0127	INTERNATIONAL JOURNAL OF RENEWABLE ENERGY RESEARCH	C
2394-3629	INTERNATIONAL JOURNAL OF RESEARCH - GRANTHAALAYAH (IMPRESSO)	C
1743-727X	INTERNATIONAL JOURNAL OF RESEARCH & METHOD IN EDUCATION (PRINT)	A2
2320-9356	INTERNATIONAL JOURNAL OF RESEARCH IN ENGINEERING AND SCIENCE	C
2349-0365	INTERNATIONAL JOURNAL OF RESEARCH STUDIES IN BIOSCIENCES	C
2089-4856	INTERNATIONAL JOURNAL OF ROBOTICS AND AUTOMATION (IJRA)	C
1099-1239	INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL	A1
1049-8923	INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL (PRINT)	A1
1542-0973	INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING (PRINT)	A3
2454-2008	INTERNATIONAL JOURNAL OF SCIENCE AND RESEARCH METHODOLOGY	C
2229-5518	INTERNATIONAL JOURNAL OF SCIENTIFIC AND ENGINEERING RESEARCH	C
2454-6143	INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN MULTIDISCIPLINARY STUDIES	B3
2348-3423	INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN PHYSICS AND APPLIED SCIENCES	C
1747-8405	INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS (PRINT)	B2
1793-351X	INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING	A2
1748-1279	INTERNATIONAL JOURNAL OF SENSOR NETWORKS	A4
1726-4529	INTERNATIONAL JOURNAL OF SIMULATION MODELLING	A2
2580-779X	INTERNATIONAL JOURNAL OF SMART GRID AND SUSTAINABLE ENERGY TECHNOLOGIES	B4
1875-4791	INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS	A1
0218-1940	INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING	B1
2044-4907	INTERNATIONAL JOURNAL OF SPACE-BASED AND SITUATED COMPUTING	B1
0172-4622	INTERNATIONAL JOURNAL OF SPORTS MEDICINE	A2
0219-4554	INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS	A2
2093-761X	INTERNATIONAL JOURNAL OF SUSTAINABLE BUILDING TECHNOLOGY AND URBAN DEVELOPMENT	B2
1947-9263	INTERNATIONAL JOURNAL OF SWARM INTELLIGENCE RESEARCH	C
0020-7721	INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE	A3
1464-5319	INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE (ONLINE)	A3
0020-7748	INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS	A2
1741-1645	INTERNATIONAL JOURNAL OF THERAPY AND REHABILITATION	B1
1290-0729	INTERNATIONAL JOURNAL OF THERMAL SCIENCES	A1
0195-928X	INTERNATIONAL JOURNAL OF THERMOPHYSICS	B2
1081-1451	INTERNATIONAL JOURNAL OF VIRTUAL REALITY	B3
1938-0194	INTERNATIONAL JOURNAL OF WEB PORTALS	B3
0975-3834	INTERNATIONAL JOURNAL OF WIRELESS & MOBILE NETWORKS	C
2381-1137	INTERNATIONAL JOURNAL OF WIRELESS COMMUNICATIONS, NETWORKING AND MOBILE COMPUTING	C
1068-9605	INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS	A4
2526-2254	INTERNATIONAL JOURNAL ON ACTIVE LEARNING	B3
0218-2130	INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS	B1
1469-0268	INTERNATIONAL JOURNAL ON COMPUTATIONAL INTELLIGENCE AND APPLICATIONS	B1
2594-5602	INTERNATIONAL JOURNAL ON COMPUTATIONAL THINKING (IJCTHINK)	C
1433-2787	INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER (INTERNET)	A4
1433-2779	INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER (PRINT)	A4
2631-5548	INTERNATIONAL MARINE ENERGY JOURNAL	B2
2574-9838	INTERNATIONAL PHYSICAL MEDICINE & REHABILITATION JOURNAL	B4
2395-0072	INTERNATIONAL RESEARCH JOURNAL OF ENGINEERING AND TECHNOLOGY	C
2532-5655	INTERNATIONAL REVIEW OF MECHANICAL ENGINEERING (ONLINE)	B1
1970-8734	INTERNATIONAL REVIEW OF MECHANICAL ENGINEERING (TESTO STAMPATO)	B1
1475-3995	INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH	A2
0969-6016	INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH	A2
2050-7038	INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS.	A4
0937-3462	INTERNATIONAL UROGYNECOLOGY JOURNAL	A3
2542-6605	INTERNET OF THINGS	B1
2476-1508	INTERNET TECHNOLOGY LETTERS	B2
1679-9844	INTERSCIENCE PLACE	A3
0266-5611	INVERSE PROBLEMS (PRINT)	A2
0124-2059	INVESTIGACIÓN EN ENFERMERÕA IMAGEN Y DESARROLLO	B1
0947-7047	IONICS (KIEL)	A2
1757-899X	IOP CONFERENCE SERIES: MATERIALS SCIENCE AND ENGINEERING (ONLINE)	B2
1757-8981	IOP CONFERENCE SERIES: MATERIALS SCIENCE AND ENGINEERING (PRINT)	B2
2278-487X	IOSR JOURNAL OF BUSINESS AND MANAGEMENT (IOSR-JBM)	A2
2278-1676	IOSR JOURNAL OF ELECTRICAL AND ELECTRONICS ENGINEERING	C
2250-3021	IOSR JOURNAL OF ENGINEERING	C
2394-0050	IOSR JOURNAL OF MOBILE COMPUTING & APPLICATION	C
0301-9233	IRONMAKING & STEELMAKING	A2
1808-8546	IRRIGA	B2
0019-0578	ISA TRANSACTIONS	A1
0959-3020	ISOKINETICS AND EXERCISE SCIENCE	B1
2194-9050	ISPRS ANNALS OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	A4
2220-9964	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION	A2
0924-2716	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	A1
1984-2902	ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO	B2
1520-9202	IT PROFESSIONAL	A1
2616-8375	ITU JOURNAL	B4
1864-063X	J BIOPHOTONICS	A1
0967-5868	J CLIN NEUROSCI.	A3
0098-7484	JAMA (CHICAGO, ILL.)	A1
2168-6165	JAMA OPHTHALMOLOGY	A1
1807-1953	JICS. JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS (IMPRESSO)	A4
2184-7509	JIM - JORNAL DE INVESTIGAÇÃO M…DICA	B2
1438-8871	JMIR. JOURNAL OF MEDICAL INTERNET RESEARCH	A1
2291-9694	JMIR MEDICAL INFORMATICS	A4
2291-5222	JMIR MHEALTH UHEALTH	B3
2175-2095	JORNAL BRASILEIRO DE ECONOMIA DA SA⁄DE	B3
0368-1416	JORNAL BRASILEIRO DE GINECOLOGIA	C
0101-2800	JORNAL BRASILEIRO DE NEFROLOGIA	B1
1806-3756	JORNAL BRASILEIRO DE PNEUMOLOGIA (ONLINE)	B1
1677-7301	JORNAL VASCULAR BRASILEIRO	B3
2236-9740	JOSS JOURNAL OF SPEECH SCIENCE	B1
1269-6935	JOURNAL EUROP…EN DES SYSTÈMES AUTOMATIS…S	C
1096-4665	JOURNAL HEALTH CARE FOR WOMEN INTERNATIONAL	B1
2526-1010	JOURNAL HEALTH NPEPS	B2
1461-5185	JOURNAL OF ADHESIVE DENTISTRY	A1
0197-6729	JOURNAL OF ADVANCED TRANSPORTATION	A2
0893-1321	JOURNAL OF AEROSPACE ENGINEERING	A3
2175-9146	JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT (ONLINE)	B1
0165-0327	JOURNAL OF AFFECTIVE DISORDERS (PRINT)	A1
1063-8652	JOURNAL OF AGING AND PHYSICAL ACTIVITY	A3
1916-9760	JOURNAL OF AGRICULTURAL SCIENCE	B3
0021-8669	JOURNAL OF AIRCRAFT (PRINT)	A3
0925-8388	JOURNAL OF ALLOYS AND COMPOUNDS	A1
1875-8908	JOURNAL OF ALZHEIMER'S DISEASE	A1
1387-2877	JOURNAL OF ALZHEIMER'S DISEASE	A1
1868-5137	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING	A2
1876-1364	JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS	A4
0305-7453	JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY (PRINT)	A1
2594-3553	JOURNAL OF APPLIED INSTRUMENTATION AND CONTROL	B4
1865-2085	JOURNAL OF APPLIED MATHEMATICS AND COMPUTING	A4
2164-6457	JOURNAL OF APPLIED NONLINEAR DYNAMICS	B2
1678-7757	JOURNAL OF APPLIED ORAL SCIENCE (IMPRESSO)	A2
1678-7765	JOURNAL OF APPLIED ORAL SCIENCE (ONLINE)	A2
0021-8979	JOURNAL OF APPLIED PHYSICS	A1
1522-1601	JOURNAL OF APPLIED PHYSIOLOGY	A2
8750-7587	JOURNAL OF APPLIED PHYSIOLOGY (1985)	A2
0021-8995	JOURNAL OF APPLIED POLYMER SCIENCE (PRINT)	A1
1931-3195	JOURNAL OF APPLIED REMOTE SENSING	A3
2083-2567	JOURNAL OF ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING RESEARCH	A1
2642-2859	JOURNAL OF ARTIFICIAL INTELLIGENCE AND SYSTEMS	B3
1364-6826	JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS	A4
2630-5046	JOURNAL OF AUTONOMOUS INTELLIGENCE	B4
2198-4220	JOURNAL OF BIO- AND TRIBO-CORROSION	A2
0219-7200	JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY (PRINT)	B1
0885-3282	JOURNAL OF BIOMATERIALS APPLICATIONS	A3
0920-5063	JOURNAL OF BIOMATERIALS SCIENCE. POLYMER ED. (PRINT)	A3
0021-9290	JOURNAL OF BIOMECHANICS	A1
1532-0464	JOURNAL OF BIOMEDICAL INFORMATICS	A1
1552-4973	JOURNAL OF BIOMEDICAL MATERIALS RESEARCH. PART B, APPLIED BIOMATERIALS	A3
1552-4981	JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B: APPLIED BIOMATERIALS	A3
1550-7033	JOURNAL OF BIOMEDICAL NANOTECHNOLOGY	A1
1083-3668	JOURNAL OF BIOMEDICAL OPTICS	A2
1864-0648	JOURNAL OF BIOPHOTONICS	A1
2455-765X	JOURNAL OF BIOSTATISTICS AND BIOMETRIC APPLICATION	C
1360-8592	JOURNAL OF BODYWORK AND MOVEMENT THERAPIES	A2
0914-8779	JOURNAL OF BONE AND MINERAL METABOLISM (ENGLISH ED. PRINT)	A4
1084-0702	JOURNAL OF BRIDGE ENGINEERING	A2
1940-1493	JOURNAL OF BUILDING PERFORMANCE SIMULATION	A1
1537-2707	JOURNAL OF BUSINESS & ECONOMIC STATISTICS	A1
2377-9292	JOURNAL OF CANCER SCIENCES	C
2578-2967	JOURNAL OF CANCER TREATMENT AND DIAGNOSIS	C
1932-7501	JOURNAL OF CARDIOPULMONARY REHABILITATION AND PREVENTION	A3
1045-3873	JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY (PRINT)	A3
1582-1838	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE (PRINT)	A2
1557-5969	JOURNAL OF CELLULAR AUTOMATA	B1
0021-9541	JOURNAL OF CELLULAR PHYSIOLOGY (PRINT)	A1
0271-678X	JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	A1
1549-9596	JOURNAL OF CHEMICAL INFORMATION AND MODELING	A1
1556-3707	JOURNAL OF CHIROPRACTIC MEDICINE (PRINT)	A1
0218-1266	JOURNAL OF CIRCUITS, SYSTEMS, AND COMPUTERS	B1
0176-4268	JOURNAL OF CLASSIFICATION	A1
0959-6526	JOURNAL OF CLEANER PRODUCTION	A1
2324-9110	JOURNAL OF CLINICAL & EXPERIMENTAL ONCOLOGY	C
0973-709X	JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH	B3
1989-5488	JOURNAL OF CLINICAL AND EXPERIMENTAL DENTISTRY	A4
1094-6950	JOURNAL OF CLINICAL DENSITOMETRY	A4
2077-0383	JOURNAL OF CLINICAL MEDICINE	A2
1387-1307	JOURNAL OF CLINICAL MONITORING AND COMPUTING	A2
1386-6532	JOURNAL OF CLINICAL VIROLOGY	A3
2192-113X	JOURNAL OF CLOUD COMPUTING: ADVANCES, SYSTEMS AND APPLICATIONS	A2
1040-7278	JOURNAL OF CLUSTER SCIENCE	A3
2509-3290	JOURNAL OF COGNITIVE ENHANCEMENT	C
0021-9797	JOURNAL OF COLLOID AND INTERFACE SCIENCE (PRINT)	A1
1548-7709	JOURNAL OF COMMUNICATION AND COMPUTER	C
1980-6604	JOURNAL OF COMMUNICATION AND INFORMATION SYSTEMS (ONLINE)	A4
1229-2370	JOURNAL OF COMMUNICATIONS AND NETWORKS (SEOUL. PRINT)	A2
1845-6421	JOURNAL OF COMMUNICATIONS SOFTWARE AND SYSTEMS	B2
0174-1578	JOURNAL OF COMPARATIVE PHYSIOLOGY. B, BIOCHEMICAL, SYSTEMIC, AND ENVIRONMENTAL PHYSIOLOGY	A1
2051-1310	JOURNAL OF COMPLEX NETWORKS	A2
0021-9983	JOURNAL OF COMPOSITE MATERIALS	A3
2504-477X	JOURNAL OF COMPOSITES SCIENCES	B3
0218-396X	JOURNAL OF COMPUTATIONAL ACOUSTICS	A3
0377-0427	JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS	A2
1555-1415	JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS	B1
1546-1955	JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE	B3
1066-5277	JOURNAL OF COMPUTATIONAL BIOLOGY	A2
1569-8025	JOURNAL OF COMPUTATIONAL ELECTRONICS (PRINT)	A4
0929-5313	JOURNAL OF COMPUTATIONAL NEUROSCIENCE	A4
0021-9991	JOURNAL OF COMPUTATIONAL PHYSICS (PRINT)	A1
1877-7503	JOURNAL OF COMPUTATIONAL SCIENCE	A1
0363-8715	JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY	B1
2090-7141	JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS	B1
1552-6607	JOURNAL OF COMPUTER SCIENCE	B1
1549-3636	JOURNAL OF COMPUTER SCIENCES	B1
1796-203X	JOURNAL OF COMPUTERS	C
0972-0707	JOURNAL OF CONSERVATIVE DENTISTRY	B1
