Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
3637;21351;"Expert Opinion on Investigational Drugs";journal;"13543784, 17447658";"Taylor and Francis Ltd.";No;No;1,199;Q1;126;86;323;6602;1355;296;4,22;76,77;43,58;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2026";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
3638;21100200426;"Frontiers of Computer Science";journal;"20952228, 20952236";"Higher Education Press Limited Company";No;No;1,199;Q1;56;156;413;7893;2489;291;7,45;50,60;34,00;1;China;Asiatic Region;"Higher Education Press Limited Company";"2013-2026";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
3639;32795;"Journal of Dairy Science";journal;"15253198, 00220302";"Elsevier Inc.";Yes;No;1,199;Q1;252;955;2235;55475;11105;2229;4,80;58,09;43,46;15;United States;Northern America;"Elsevier Inc.";"1917-2026";"Animal Science and Zoology (Q1); Food Science (Q1); Genetics (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3640;20669;"Journal of Multinational Financial Management";journal;"1042444X";"Elsevier B.V.";No;No;1,199;Q1;65;21;71;1334;413;71;6,30;63,52;45,10;0;Netherlands;Western Europe;"Elsevier B.V.";"1997-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
3641;97030;"Research in Science Education";journal;"15731898, 0157244X";"Springer Netherlands";No;No;1,199;Q1;77;111;236;6528;1096;222;4,69;58,81;54,43;0;Netherlands;Western Europe;"Springer Netherlands";"1971-2026";"Education (Q1)";"Social Sciences"
3642;21101021192;"Cell Stress";journal;"25230204";"Shared Science Publishers OG";Yes;No;1,198;Q1;33;11;34;1739;108;34;3,00;158,09;36,36;0;Austria;Western Europe;"Shared Science Publishers OG";"2017-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Physiology (Q1); Cancer Research (Q2); Molecular Medicine (Q2)";"Biochemistry, Genetics and Molecular Biology"
3643;20291;"Ecological Engineering";journal;"09258574";"Elsevier B.V.";No;No;1,198;Q1;181;261;700;18501;3674;695;4,73;70,89;36,23;0;Netherlands;Western Europe;"Elsevier B.V.";"1992-2026";"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Environmental Science"
3644;21101183492;"El-Mashlahah";journal;"20891970, 26228645";"Sharia Faculty of State Islamic Institute (IAIN) Palangka Raya";No;No;1,198;Q1;16;20;44;1014;247;44;6,34;50,70;30,51;0;Indonesia;Asiatic Region;"Sharia Faculty of State Islamic Institute (IAIN) Palangka Raya";"2019-2025";"Law (Q1)";"Social Sciences"
3645;16688;"Journal of Cognitive Neuroscience";journal;"0898929X, 15308898";"MIT Press";Yes;No;1,198;Q1;249;132;443;3276;1271;434;2,64;24,82;43,76;0;United States;Northern America;"MIT Press";"1989-2026";"Cognitive Neuroscience (Q1)";"Neuroscience"
3646;17529;"Journal of Financial Services Research";journal;"15730735, 09208550";"Springer Netherlands";No;No;1,198;Q1;66;38;69;1905;256;68;4,30;50,13;31,68;3;Netherlands;Western Europe;"Springer Netherlands";"1987-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3647;16242;"Journal of Law, Economics, and Organization";journal;"14657341, 87566222";"Oxford University Press";No;No;1,198;Q1;84;39;75;1910;164;75;2,17;48,97;20,24;6;United Kingdom;Western Europe;"Oxford University Press";"1985-2026";"Economics and Econometrics (Q1); Law (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
3648;21100385605;"Smart and Sustainable Built Environment";journal;"20466102, 20466099";"Emerald Group Publishing Ltd.";No;No;1,198;Q1;46;243;231;17967;2130;225;9,38;73,94;29,63;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2026";"Architecture (Q1); Building and Construction (Q1); Civil and Structural Engineering (Q1); Cultural Studies (Q1); Human Factors and Ergonomics (Q1); Management, Monitoring, Policy and Law (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Energy; Engineering; Environmental Science; Social Sciences"
3649;4800153101;"Expert Review of Clinical Immunology";journal;"1744666X, 17448409";"Taylor and Francis Ltd.";No;No;1,198;Q2;85;134;367;12631;1543;327;4,07;94,26;47,89;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2026";"Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
3650;21101055201;"Applied Water Science";journal;"21905495, 21905487";"Springer Science and Business Media Deutschland GmbH";Yes;No;1,197;Q1;114;314;779;20263;5689;779;6,49;64,53;29,55;1;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2011-2026";"Water Science and Technology (Q1)";"Environmental Science"
3651;19400158515;"Cognitive Computation";journal;"18669964, 18669956";"Springer New York";No;No;1,197;Q1;81;175;494;10024;3865;479;8,72;57,28;30,68;0;United States;Northern America;"Springer New York";"2009-2026";"Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Cognitive Neuroscience (Q2)";"Computer Science; Neuroscience"
3652;21100389511;"Energy Reports";journal;"23524847";"Elsevier Ltd";Yes;No;1,197;Q1;132;810;5423;49121;37984;5407;7,56;60,64;25,70;8;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2026";"Building and Construction (Q1); Chemical Engineering (miscellaneous) (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Chemical Engineering; Energy; Engineering; Environmental Science"
3653;21101046659;"Materials Science for Energy Technologies";journal;"25892991";"KeAi Communications Co.";Yes;No;1,197;Q1;62;22;139;1632;1254;139;9,65;74,18;32,35;0;China;Asiatic Region;"KeAi Communications Co.";"2018-2026";"Chemical Engineering (miscellaneous) (Q1); Fuel Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Chemical Engineering; Energy; Materials Science"
3654;19700188360;"Pharmaceutics";journal;"19994923";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,197;Q1;157;1614;7182;129490;53282;7085;7,51;80,23;49,18;1;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2009-2026";"Pharmaceutical Science (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
3655;13261;"Progress in Organic Coatings";journal;"03009440";"Elsevier B.V.";No;No;1,197;Q1;149;648;1954;37399;15909;1951;8,08;57,71;37,75;1;Netherlands;Western Europe;"Elsevier B.V.";"1972-2026";"Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Chemical Engineering; Chemistry; Materials Science"
3656;26613;"Administration and Policy in Mental Health and Mental Health Services Research";journal;"15733289, 0894587X";"Springer New York";No;No;1,196;Q1;100;89;227;5553;821;215;3,41;62,39;65,05;1;United States;Northern America;"Springer New York";"1988-2026";"Health Policy (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
3657;21101093601;"IEEE Transactions on Artificial Intelligence";journal;"26914581";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,196;Q1;44;422;758;23214;4886;752;6,07;55,01;26,62;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2026";"Artificial Intelligence (Q1); Computer Science Applications (Q1)";"Computer Science"
3658;24154;"Journal of Analytical and Applied Pyrolysis";journal;"01652370";"Elsevier B.V.";No;No;1,196;Q1;185;409;1297;25725;9050;1295;6,93;62,90;33,86;0;Netherlands;Western Europe;"Elsevier B.V.";"1970, 1979-2026";"Analytical Chemistry (Q1); Fuel Technology (Q1)";"Chemistry; Energy"
3659;26661;"Journal of Nutrition, Health and Aging";journal;"17604788, 12797707";"Elsevier B.V.";Yes;No;1,196;Q1;116;230;581;9381;2486;485;4,11;40,79;52,08;0;Italy;Western Europe;"Elsevier B.V.";"1997-2026";"Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Medicine; Nursing"
3660;20199;"Transplant International";journal;"09340874, 14322277";"Frontiers Media SA";Yes;No;1,196;Q1;100;181;677;6997;2130;579;3,13;38,66;39,98;0;Switzerland;Western Europe;"Frontiers Media SA";"1988-2026";"Transplantation (Q1)";"Medicine"
3661;16925;"American Journal of Community Psychology";journal;"00910562, 15732770";"John Wiley and Sons Inc";No;No;1,195;Q1;143;99;213;5551;851;200;3,07;56,07;72,67;4;United States;Northern America;"John Wiley and Sons Inc";"1973-2026";"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
3662;21101043776;"Current Research in Green and Sustainable Chemistry";journal;"26660865";"Elsevier B.V.";Yes;No;1,195;Q1;53;53;193;3367;1904;192;7,91;63,53;35,22;0;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Environmental Chemistry (Q2)";"Chemistry; Environmental Science; Materials Science"
3663;21100242201;"Romanian Journal of Information Science and Technology";journal;"14538245";"Publishing House of the Romanian Academy";Yes;No;1,195;Q1;29;31;83;780;322;80;5,18;25,16;24,78;0;Romania;Eastern Europe;"Publishing House of the Romanian Academy";"2008-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
3664;21101055806;"Advances in Industrial and Manufacturing Engineering";journal;"26669129";"Elsevier B.V.";Yes;No;1,194;Q1;28;23;77;1017;620;76;7,18;44,22;26,26;0;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Engineering"
3665;17625;"Journal of Proteome Research";journal;"15353893, 15353907";"American Chemical Society";No;No;1,194;Q1;198;515;1060;27533;4199;1047;3,91;53,46;43,88;0;United States;Northern America;"American Chemical Society";"2002-2026";"Biochemistry (Q1); Chemistry (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
3666;21100324439;"npj Primary Care Respiratory Medicine";journal;"20551010";"Nature Research";Yes;No;1,194;Q1;69;60;136;2307;643;126;4,78;38,45;49,55;2;United Kingdom;Western Europe;"Nature Research";"2014-2026";"Family Practice (Q1); Public Health, Environmental and Occupational Health (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine"
3667;5700156763;"Teachers and Teaching: Theory and Practice";journal;"13540602, 14701278";"Routledge";No;No;1,194;Q1;88;156;180;8291;782;176;4,12;53,15;69,58;2;United Kingdom;Western Europe;"Routledge";"1995-2026";"Arts and Humanities (miscellaneous) (Q1); Education (Q1)";"Arts and Humanities; Social Sciences"
3668;26662;"Pancreatology";journal;"14243911, 14243903";"Elsevier B.V.";No;No;1,193;Q1;97;217;483;6206;1621;431;3,42;28,60;28,36;0;Netherlands;Western Europe;"Elsevier B.V.";"2001-2026";"Gastroenterology (Q1); Hepatology (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3669;21101068929;"Smart Cities";journal;"26246511";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,193;Q1;57;210;396;14537;3882;396;9,60;69,22;28,72;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2018-2026";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Urban Studies (Q1)";"Computer Science; Engineering; Social Sciences"
3670;19900191735;"Topics in Cognitive Science";journal;"17568765, 17568757";"Wiley-Blackwell";No;No;1,193;Q1;84;75;170;5453;579;136;3,58;72,71;47,25;3;United States;Northern America;"Wiley-Blackwell";"2009-2026";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q2)";"Computer Science; Neuroscience; Psychology; Social Sciences"
3671;21101053582;"Business Ethics, the Environment and Responsibility";journal;"26946424, 26946416";"John Wiley and Sons Inc";No;No;1,192;Q1;61;256;246;23970;1802;233;6,91;93,63;43,88;4;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2021-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1); Organizational Behavior and Human Resource Management (Q1); Philosophy (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
3672;16044;"Electric Power Systems Research";journal;"03787796";"Elsevier B.V.";No;No;1,192;Q1;162;907;2931;33075;15891;2930;5,56;36,47;26,42;1;Netherlands;Western Europe;"Elsevier B.V.";"1977-2026";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
3673;27955;"Fortschritte der Physik";journal;"15213978, 00158208";"Wiley-VCH Verlag";No;No;1,192;Q1;78;75;192;5423;1074;189;5,14;72,31;18,34;0;Germany;Western Europe;"Wiley-VCH Verlag";"1953-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
3674;21101198451;"Frontiers in Remote Sensing";journal;"26736187";"Frontiers Media SA";Yes;No;1,192;Q1;25;134;264;7801;1215;256;3,18;58,22;30,80;2;Switzerland;Western Europe;"Frontiers Media SA";"2020-2026";"Biophysics (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences; Physics and Astronomy"
3675;20100195008;"Research in Psychotherapy: Psychopathology, Process and Outcome";journal;"22398031";"Page Press Publications";Yes;No;1,192;Q1;25;14;87;838;306;85;3,88;59,86;52,70;0;Italy;Western Europe;"Page Press Publications";"2011-2026";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
3676;20649;"Annals of Allergy, Asthma and Immunology";journal;"15344436, 10811206";"American College of Allergy, Asthma and Immunology";No;No;1,191;Q1;137;316;1023;8939;2990;752;3,17;28,29;50,51;0;United States;Northern America;"American College of Allergy, Asthma and Immunology";"1995-2026";"Pulmonary and Respiratory Medicine (Q1); Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
3677;19700174918;"Clinical and Translational Science";journal;"17528062, 17528054";"John Wiley and Sons Inc";Yes;No;1,191;Q1;71;340;828;11888;3295;806;4,26;34,96;44,56;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2008-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
3678;5000156906;"Current Hematologic Malignancy Reports";journal;"15588211, 1558822X";"Springer";No;No;1,191;Q1;52;24;89;1699;339;89;4,34;70,79;40,21;0;United States;Northern America;"Springer";"2006-2026";"Hematology (Q1); Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3679;7100153132;"Human Resource Development Review";journal;"15526712, 15344843";"SAGE Publications Ltd";No;No;1,191;Q1;74;31;86;3267;506;64;5,59;105,39;46,97;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2026";"Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
3680;25296;"Journal of Gastroenterology and Hepatology (Australia)";journal;"14401746, 08159319";"Wiley-Blackwell Publishing Ltd";No;No;1,191;Q1;162;389;988;12023;3220;840;3,09;30,91;32,38;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2026";"Gastroenterology (Q1); Hepatology (Q2)";"Medicine"
3681;21100934557;"Journal of Intelligence";journal;"20793200";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,191;Q1;38;165;478;11739;2320;463;4,49;71,15;48,65;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)";"Neuroscience; Psychology; Social Sciences"
3682;18069;"Neurosurgery";journal;"15244040, 0148396X";"Lippincott Williams and Wilkins";Yes;No;1,191;Q1;236;633;1308;16554;3282;847;2,67;26,15;24,79;0;United States;Northern America;"Lippincott Williams and Wilkins";"1977-2026";"Neurology (clinical) (Q1); Surgery (Q1)";"Medicine"
3683;28805;"Nurse Education in Practice";journal;"18735223, 14715953";"Elsevier Ltd";No;No;1,191;Q1;76;360;734;15778;3793;666;4,92;43,83;70,97;0;United Kingdom;Western Europe;"Elsevier Ltd";"2001-2026";"Education (Q1); Medicine (miscellaneous) (Q1); Nursing (miscellaneous) (Q1)";"Medicine; Nursing; Social Sciences"
3684;19608;"Annals of Clinical Microbiology and Antimicrobials";journal;"14760711";"BioMed Central Ltd";Yes;No;1,190;Q1;80;65;271;3135;1387;269;5,16;48,23;46,32;1;United Kingdom;Western Europe;"BioMed Central Ltd";"2002-2026";"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1)";"Medicine"
3685;26043;"Economy and Society";journal;"03085147, 14695766";"Routledge";No;No;1,190;Q1;109;34;93;2554;455;92;4,62;75,12;36,84;1;United Kingdom;Western Europe;"Routledge";"1972-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
3686;19700201452;"European Cardiology Review";journal;"17583764, 17583756";"";Yes;No;1,190;Q1;35;38;91;1624;360;77;3,79;42,74;28,78;0;United Kingdom;Western Europe;"";"2007, 2011-2012, 2014-2025";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
3687;22577;"Food Control";journal;"09567135";"Elsevier B.V.";No;No;1,190;Q1;186;650;2003;38411;16162;1988;8,10;59,09;47,48;1;Netherlands;Western Europe;"Elsevier B.V.";"1990-2026";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3688;21100317418;"International Journal of Precision Engineering and Manufacturing - Green Technology";journal;"21980810, 22886206";"Springer Science + Business Media";No;No;1,190;Q1;65;164;308;10859;2500;305;7,99;66,21;22,71;0;United States;Northern America;"Springer Science + Business Media";"2014-2026";"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Business, Management and Accounting; Energy; Engineering; Materials Science"
3689;25696;"Nonlinearity";journal;"09517715, 13616544";"IOP Publishing Ltd.";No;No;1,190;Q1;112;271;693;9889;1278;693;1,70;36,49;21,82;0;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1988-2025";"Applied Mathematics (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)";"Mathematics; Physics and Astronomy"
3690;22460;"Patient Education and Counseling";journal;"18735134, 07383991";"Elsevier Ireland Ltd";No;No;1,190;Q1;175;379;1055;17745;4048;961;3,47;46,82;67,29;1;Ireland;Western Europe;"Elsevier Ireland Ltd";"1983-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
3691;19700201679;"Therapeutic Advances in Musculoskeletal Disease";journal;"1759720X, 17597218";"SAGE Publications Inc.";Yes;No;1,190;Q1;59;48;212;2495;867;211;3,47;51,98;46,71;0;United Kingdom;Western Europe;"SAGE Publications Inc.";"2009-2026";"Orthopedics and Sports Medicine (Q1); Rheumatology (Q1)";"Medicine"
3692;21101272844;"JMIR AI";journal;"28171705";"JMIR Publications Inc.";Yes;No;1,189;Q1;17;105;117;4283;759;114;6,59;40,79;32,70;0;Canada;Northern America;"JMIR Publications Inc.";"2022-2026";"Health Informatics (Q1); Health Policy (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reviews and References (medical) (Q1)";"Medicine"
3693;12100155712;"Language Assessment Quarterly";journal;"15434303, 15434311";"Routledge";No;No;1,189;Q1;44;31;70;1564;268;58;4,38;50,45;58,00;0;United States;Northern America;"Routledge";"2009-2026";"Linguistics and Language (Q1)";"Social Sciences"
3694;12807;"Personality and Individual Differences";journal;"01918869";"Elsevier B.V.";No;No;1,189;Q1;228;506;1250;26223;4682;1241;3,46;51,82;51,78;4;United Kingdom;Western Europe;"Elsevier B.V.";"1980-2026";"Psychology (miscellaneous) (Q1)";"Psychology"
3695;21200;"Pharmacotherapy";journal;"18759114, 02770008";"American College of Clinical Pharmacy";No;No;1,189;Q1;136;98;305;3428;1235;282;3,72;34,98;46,40;0;United States;Northern America;"American College of Clinical Pharmacy";"1981-2026";"Pharmacology (medical) (Q1)";"Medicine"
3696;21101291381;"Autophagy Reports";journal;"27694127";"Informa UK Ltd";Yes;No;1,188;Q1;10;49;169;4725;241;55;1,86;96,43;38,42;0;United Kingdom;Western Europe;"Informa UK Ltd";"2022-2026";"Geriatrics and Gerontology (Q1); Oncology (nursing) (Q1); Pharmacology (Q1); Neuroscience (miscellaneous) (Q2)";"Medicine; Neuroscience; Nursing; Pharmacology, Toxicology and Pharmaceutics"
3697;16794;"BMC Plant Biology";journal;"14712229";"BioMed Central Ltd";Yes;No;1,188;Q1;172;1762;2514;115296;14761;2512;5,67;65,43;41,25;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2026";"Plant Science (Q1)";"Agricultural and Biological Sciences"
3698;13524;"Discourse and Society";journal;"14603624, 09579265";"SAGE Publications Ltd";No;No;1,188;Q1;97;67;115;3563;481;115;2,80;53,18;55,17;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"1990-2026";"Communication (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3699;21101036139;"Environmental and Sustainability Indicators";journal;"26659727";"Elsevier B.V.";Yes;No;1,188;Q1;44;495;371;37055;2568;369;6,63;74,86;34,86;4;Netherlands;Western Europe;"Elsevier B.V.";"2019-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Environmental Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)";"Agricultural and Biological Sciences; Environmental Science"
3700;21101043576;"Epigenomes";journal;"20754655";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,188;Q1;22;53;118;4973;456;112;4,42;93,83;51,00;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health, Toxicology and Mutagenesis (Q1); Genetics (Q2)";"Biochemistry, Genetics and Molecular Biology; Environmental Science"
3701;5200153112;"European Financial Management";journal;"13547798, 1468036X";"Wiley-Blackwell Publishing Ltd";No;No;1,188;Q1;82;80;167;5641;947;166;5,58;70,51;28,44;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-2026";"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3702;21101037157;"Visual Computing for Industry, Biomedicine, and Art";journal;"25244442, 2096496X";"Springer Science and Business Media Deutschland GmbH";Yes;Yes;1,188;Q1;29;29;82;1932;545;81;7,58;66,62;36,90;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2018-2026";"Computer Graphics and Computer-Aided Design (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Medicine (miscellaneous) (Q1); Software (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Computer Science; Medicine"
3703;29256;"Clinical and Experimental Metastasis";journal;"02620898, 15737276";"Springer Science and Business Media B.V.";No;No;1,187;Q1;114;63;197;3704;749;179;3,40;58,79;39,80;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1983-2026";"Medicine (miscellaneous) (Q1); Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3704;19900193691;"Journal of Political Ecology";journal;"10730451";"University of Arizona Libraries";Yes;Yes;1,187;Q1;48;61;147;5052;546;147;3,73;82,82;59,50;1;United States;Northern America;"University of Arizona Libraries";"1999, 2001-2002, 2004, 2011-2026";"Ecology (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Environmental Science; Social Sciences"
3705;17600155060;"Cell Adhesion and Migration";journal;"19336918, 19336926";"Taylor and Francis Ltd.";Yes;No;1,187;Q2;84;15;34;978;157;33;4,15;65,20;50,00;0;United States;Northern America;"Taylor and Francis Ltd.";"2007-2026";"Cell Biology (Q2); Cellular and Molecular Neuroscience (Q2)";"Biochemistry, Genetics and Molecular Biology; Neuroscience"
3706;13452;"Creativity Research Journal";journal;"15326934, 10400419";"Routledge";No;No;1,186;Q1;113;101;137;7189;803;133;5,54;71,18;47,60;3;United States;Northern America;"Routledge";"1988-1999, 2001-2026";"Developmental and Educational Psychology (Q1); Psychology (miscellaneous) (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Psychology"
3707;21101087138;"Food Frontiers";journal;"26438429";"John Wiley and Sons Inc";Yes;No;1,186;Q1;43;176;335;15389;2642;318;7,39;87,44;45,92;1;United States;Northern America;"John Wiley and Sons Inc";"2020-2026";"Food Science (Q1)";"Agricultural and Biological Sciences"
3708;14929;"Global Networks";journal;"14710374, 14702266";"Wiley-Blackwell Publishing Ltd";No;No;1,186;Q1;94;60;158;4114;647;155;3,38;68,57;57,94;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2026";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
3709;16248;"Journal of Attention Disorders";journal;"10870547, 15571246";"SAGE Publications Inc.";No;No;1,186;Q1;100;113;434;7013;1722;430;3,57;62,06;60,33;0;United States;Northern America;"SAGE Publications Inc.";"1996-2026";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1)";"Psychology"
3710;21100456759;"Journal of Graduate Medical Education";journal;"19498349, 19498357";"Accreditation Council for Graduate Medical Education";No;No;1,186;Q1;51;187;514;2908;1564;288;1,64;15,55;58,62;0;United States;Northern America;"Accreditation Council for Graduate Medical Education";"2010, 2012, 2014-2026";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
3711;11200153565;"Pigment Cell and Melanoma Research";journal;"1755148X, 17551471";"Wiley-Blackwell Publishing Ltd";No;No;1,186;Q1;131;89;154;4440;540;136;3,02;49,89;47,38;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Dermatology (Q1); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
